Date,Open,High,Low,Close,Volume,Adj Close
2015-05-29,63.700001,64.849998,63.380001,64.639999,1489500,63.52949
2015-05-28,63.490002,64.050003,63.119999,63.740002,1044000,62.644954
2015-05-27,62.720001,63.48,62.57,63.400002,1224500,62.310795
2015-05-26,64.440002,64.830002,62.189999,62.369999,1295500,61.298488
2015-05-22,64.889999,65.239998,64.00,64.400002,850700,63.293616
2015-05-21,64.089996,64.830002,63.50,64.690002,1277800,63.578634
2015-05-20,66.739998,66.970001,63.41,63.959999,2179700,62.861172
2015-05-19,67.870003,68.269997,66.650002,66.989998,1386800,65.839116
2015-05-18,66.389999,68.00,66.110001,67.580002,1247100,66.222421
2015-05-15,66.360001,66.959999,66.089996,66.50,937900,65.164115
2015-05-14,65.239998,66.169998,64.779999,66.129997,974800,64.801545
2015-05-13,65.720001,66.209999,64.57,64.709999,684400,63.410073
2015-05-12,65.889999,66.010002,65.139999,65.18,767400,63.870632
2015-05-11,65.959999,66.830002,65.68,66.330002,969600,64.997532
2015-05-08,65.860001,66.790001,65.730003,66.269997,1088100,64.938732
2015-05-07,63.27,65.550003,63.27,64.959999,1049700,63.655051
2015-05-06,62.50,63.740002,62.150002,63.240002,1155200,61.969605
2015-05-05,63.400002,63.82,62.900002,62.970001,999700,61.705029
2015-05-04,65.550003,66.120003,64.419998,64.529999,1118000,63.233688
2015-05-01,64.480003,65.860001,64.190002,65.300003,795800,63.988224
2015-04-30,64.910004,65.650002,63.84,64.059998,1147700,62.773129
2015-04-29,66.150002,66.519997,63.970001,65.339996,1193000,64.027414
2015-04-28,67.00,67.190002,65.580002,66.470001,816500,65.134719
2015-04-27,68.220001,68.68,67.150002,67.400002,1179800,66.046037
2015-04-24,66.940002,68.660004,66.940002,68.300003,1530700,66.927959
2015-04-23,63.650002,66.860001,63.299999,66.339996,1998800,65.007326
2015-04-22,64.940002,65.00,63.66,64.309998,1280600,63.018107
2015-04-21,63.75,65.00,63.599998,64.93,990800,63.625654
2015-04-20,63.369999,63.59,62.509998,63.400002,1115900,62.126391
2015-04-17,62.900002,63.709999,62.849998,62.970001,1419700,61.705029
2015-04-16,62.02,63.560001,61.639999,63.50,1599100,62.224381
2015-04-15,63.200001,63.700001,62.009998,62.02,1332100,60.774112
2015-04-14,63.200001,63.529999,62.189999,62.529999,1175400,61.273865
2015-04-13,63.759998,65.019997,63.150002,63.330002,1233200,62.057797
2015-04-10,64.18,64.769997,63.869999,63.939999,804400,62.65554
2015-04-09,64.959999,65.580002,63.669998,64.150002,1244500,62.861325
2015-04-08,63.009998,64.980003,62.919998,64.809998,1219000,63.508062
2015-04-07,62.130001,63.330002,62.130001,62.759998,990900,61.499244
2015-04-06,61.950001,63.00,61.540001,62.400002,1728400,61.146479
2015-04-02,64.019997,64.809998,62.990002,63.07,1220000,61.803018
2015-04-01,65.330002,65.589996,63.529999,64.00,1068600,62.714336
2015-03-31,66.129997,66.480003,65.279999,66.18,929000,64.850544
2015-03-30,66.209999,66.639999,65.650002,66.199997,761200,64.870139
2015-03-27,64.93,65.949997,64.82,65.589996,852400,64.272392
2015-03-26,63.919998,64.82,62.77,64.610001,1622200,63.312083
2015-03-25,66.889999,66.989998,64.360001,64.599998,1346400,63.302282
2015-03-24,67.199997,67.220001,66.279999,66.980003,1127400,65.634476
2015-03-23,68.68,69.00,67.489998,67.489998,1173500,66.134225
2015-03-20,68.629997,68.75,67.629997,68.68,1790800,67.300323
2015-03-19,68.459999,68.93,67.68,68.349998,835200,66.97695
2015-03-18,68.919998,69.419998,67.480003,67.970001,1267600,66.604586
